player,org,agents,rounds_played,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage,team_id,team_name,region,gamechanger
Grmekista,DIA,"['astra', 'killjoy', 'sova']",621,0.93,170.9,0.86,71%,118.3,0.59,0.34,0.06,0.06,22%,9%,8049,Diamant Esports,ap,False
Ambi,VLNT,"['kayo', 'jett', 'deadlock']",503,0.93,178.5,0.88,70%,117.4,0.62,0.36,0.07,0.09,26%,10%,10188,VALIANT,ap,False
Vorwenn,BAR,"['cypher', 'clove', 'sova']",499,0.93,178.6,0.89,72%,119.9,0.63,0.24,0.07,0.09,31%,21%,14461,Barça eSports,ap,False
caydeN,DSY,"['brimstone', 'sage', 'omen']",351,0.92,171.5,0.86,72%,113.6,0.58,0.44,0.09,0.08,24%,13%,6538,DSYRE,ap,False
Loupiote,ZER.M,"['sova', 'gekko', 'skye']",348,0.92,165.3,0.87,75%,108.9,0.58,0.31,0.05,0.07,22%,17%,14613,Zerance Mint,ap,False
bucher,FKS,"['omen', 'brimstone']",245,0.92,162.2,0.86,70%,105.4,0.57,0.40,0.05,0.07,39%,7%,6882,FOKUS,ap,False
LiriLia,KC.GC,"['breach', 'astra', 'gekko']",298,0.92,174.4,0.85,72%,121.3,0.59,0.43,0.05,0.07,30%,6%,15862,charbon,ap,False
xenia,HOWL.M,"['skye', 'neon', 'jett']",240,0.92,209.5,0.96,64%,142.1,0.74,0.20,0.18,0.18,29%,9%,15811,Ketçaplı Ruffles,ap,False
leeni,FKS.S,"['raze', 'jett']",262,0.92,208.4,0.91,65%,138.3,0.71,0.19,0.22,0.19,20%,10%,12236,FOKUS Sakura,ap,False
iluri,MOUZ,"['breach', 'skye', 'sova']",634,0.91,159.7,0.87,72%,108.3,0.58,0.33,0.05,0.09,40%,17%,8044,MOUZ,ap,False
Nescargot,Team,"['omen', 'sova', 'viper']",298,0.91,173.7,0.88,68%,115.4,0.61,0.27,0.06,0.09,34%,6%,15862,charbon,ap,False
runneR,VIT,"['killjoy', 'cypher', 'viper']",611,0.91,187.4,0.90,71%,122.1,0.64,0.27,0.10,0.08,20%,10%,2059,Team Vitality,ap,False
alannn,NOVO,"['killjoy', 'cypher', 'viper']",416,0.91,191.0,0.94,68%,125.9,0.68,0.19,0.08,0.10,35%,12%,13161,NOVO Esports,ap,False
elysian,FKS.S,"['skye', 'breach', 'sova']",262,0.91,172.7,0.88,74%,117.5,0.63,0.34,0.05,0.05,30%,13%,12236,FOKUS Sakura,ap,False
CyderX,GS,"['skye', 'harbor', 'sova']",221,0.91,158.5,0.85,71%,112.2,0.56,0.26,0.02,0.04,35%,21%,4572,Galatasaray Esports,ap,False
Serial,Aimb,"['gekko', 'cypher', 'deadlock']",300,0.90,196.7,0.96,65%,127.2,0.71,0.17,0.07,0.14,45%,12%,14429,Chipi Chapa's,ap,False
